Package,LibPath,Version,Priority,Built
flexmix,/Users/jenny/resources/R/library,2.3-14,NA,3.5.0
FNN,/Users/jenny/resources/R/library,1.1.2.1,NA,3.5.0
forcats,/Users/jenny/resources/R/library,0.3.0,NA,3.5.0
foreach,/Users/jenny/resources/R/library,1.4.4,NA,3.5.0
forecast,/Users/jenny/resources/R/library,8.4,NA,3.5.0
formatR,/Users/jenny/resources/R/library,1.5,NA,3.5.0
Formula,/Users/jenny/resources/R/library,1.2-3,NA,3.5.0
fortunes,/Users/jenny/resources/R/library,1.5-4,NA,3.5.0
fpc,/Users/jenny/resources/R/library,2.1-11.1,NA,3.5.0
fracdiff,/Users/jenny/resources/R/library,1.4-2,NA,3.5.0
fs,/Users/jenny/resources/R/library,1.2.6,NA,3.5.0
gam,/Users/jenny/resources/R/library,1.16,NA,3.5.0
gamlss,/Users/jenny/resources/R/library,5.1-2,NA,3.5.0
gamlss.data,/Users/jenny/resources/R/library,5.1-0,NA,3.5.0
gamlss.dist,/Users/jenny/resources/R/library,5.1-0,NA,3.5.0
gapminder,/Users/jenny/resources/R/library,0.3.0,NA,3.5.0
gargle,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.5.1
gbRd,/Users/jenny/resources/R/library,0.4-11,NA,3.5.0
gdata,/Users/jenny/resources/R/library,2.18.0,NA,3.5.0
geepack,/Users/jenny/resources/R/library,1.2-1,NA,3.5.0
generics,/Users/jenny/resources/R/library,0.0.1,NA,3.5.1
GERGM,/Users/jenny/resources/R/library,0.13.0,NA,3.5.0
ggforce,/Users/jenny/resources/R/library,0.1.3,NA,3.5.0
gghighlight,/Users/jenny/resources/R/library,0.1.0.9000,NA,3.5.1
ggplot2,/Users/jenny/resources/R/library,3.1.0,NA,3.5.1
ggraph,/Users/jenny/resources/R/library,1.0.2,NA,3.5.0
ggrepel,/Users/jenny/resources/R/library,0.8.0,NA,3.5.0
ggridges,/Users/jenny/resources/R/library,0.5.1,NA,3.5.0
gh,/Users/jenny/resources/R/library,1.0.1,NA,3.5.1
gifski,/Users/jenny/resources/R/library,0.8.6,NA,3.5.0
git2r,/Users/jenny/resources/R/library,0.24.0.9001,NA,3.5.2
glmnet,/Users/jenny/resources/R/library,2.0-16,NA,3.5.0
glue,/Users/jenny/resources/R/library,1.3.0,NA,3.5.0
gmailr,/Users/jenny/resources/R/library,0.7.1,NA,3.5.0
gmm,/Users/jenny/resources/R/library,1.6-2,NA,3.5.0
gmp,/Users/jenny/resources/R/library,0.5-13.2,NA,3.5.0
googledrive,/Users/jenny/resources/R/library,0.1.2.9000,NA,3.5.1
googlesheets,/Users/jenny/resources/R/library,0.3.0,NA,3.5.0
googlesheets4,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.5.1
gower,/Users/jenny/resources/R/library,0.1.2,NA,3.5.0
gplots,/Users/jenny/resources/R/library,3.0.1,NA,3.5.0
gridExtra,/Users/jenny/resources/R/library,2.3,NA,3.5.0
gtable,/Users/jenny/resources/R/library,0.2.0,NA,3.5.0
gtools,/Users/jenny/resources/R/library,3.8.1,NA,3.5.0
haven,/Users/jenny/resources/R/library,1.1.2,NA,3.5.0
here,/Users/jenny/resources/R/library,0.1,NA,3.5.0
highlight,/Users/jenny/resources/R/library,0.4.7.2,NA,3.5.0
highlite,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.5.1
highr,/Users/jenny/resources/R/library,0.7,NA,3.5.0
Hmisc,/Users/jenny/resources/R/library,4.1-1,NA,3.5.0
hms,/Users/jenny/resources/R/library,0.4.2,NA,3.5.0
hrbrthemes,/Users/jenny/resources/R/library,0.5.0.1,NA,3.5.0
htmlTable,/Users/jenny/resources/R/library,1.12,NA,3.5.0
htmltools,/Users/jenny/resources/R/library,0.3.6,NA,3.5.0
htmlwidgets,/Users/jenny/resources/R/library,1.3,NA,3.5.0
httpuv,/Users/jenny/resources/R/library,1.4.5.1,NA,3.5.0
httr,/Users/jenny/resources/R/library,1.4.0,NA,3.5.0
hunspell,/Users/jenny/resources/R/library,2.9,NA,3.5.0
igraph,/Users/jenny/resources/R/library,1.2.2,NA,3.5.0
import,/Users/jenny/resources/R/library,1.1.0,NA,3.5.0
influenceR,/Users/jenny/resources/R/library,0.1.0,NA,3.5.0
ini,/Users/jenny/resources/R/library,0.3.1,NA,3.5.0
inline,/Users/jenny/resources/R/library,0.3.15,NA,3.5.0
ipred,/Users/jenny/resources/R/library,0.9-8,NA,3.5.0
irlba,/Users/jenny/resources/R/library,2.3.2,NA,3.5.0
iterators,/Users/jenny/resources/R/library,1.0.10,NA,3.5.0
jadd,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.5.1
janitor,/Users/jenny/resources/R/library,1.1.1.9000,NA,3.5.1
joineRML,/Users/jenny/resources/R/library,0.4.2,NA,3.5.0
jpeg,/Users/jenny/resources/R/library,0.1-8,NA,3.5.0
jsonlite,/Users/jenny/resources/R/library,1.6,NA,3.5.0
JuliaCall,/Users/jenny/resources/R/library,0.16.1,NA,3.5.0
Kendall,/Users/jenny/resources/R/library,2.2,NA,3.5.0
kernlab,/Users/jenny/resources/R/library,0.9-27,NA,3.5.0
