Package,LibPath,Version,Priority,Built
base,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
boot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-20,recommended,3.5.2
class,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-14,recommended,3.5.2
cluster,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.7-1,recommended,3.5.2
codetools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-15,recommended,3.5.2
compiler,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
datasets,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
foreign,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8-71,recommended,3.5.2
graphics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
grDevices,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
grid,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
KernSmooth,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.23-15,recommended,3.5.2
lattice,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.20-38,recommended,3.5.2
MASS,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-51.1,recommended,3.5.2
Matrix,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-15,recommended,3.5.2
methods,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
mgcv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-26,recommended,3.5.2
nlme,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1-137,recommended,3.5.2
nnet,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-12,recommended,3.5.2
parallel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
rpart,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1-13,recommended,3.5.2
spatial,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-11,recommended,3.5.2
splines,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
stats,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
stats4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
survival,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.43-3,recommended,3.5.2
tcltk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
tools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
